path,expected_classification,predicted_classification,predicted_confidence,reference_rule_id,reference_evidence,matched,review_reason,selection_reason
ACs/Arctic_King/Arctic_King_RG15B1.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Arctic_King"", ""category_segment"": ""ACs"", ""commercial_model"": ""RG15B1"", ""filename"": ""Arctic_King_RG15B1""}",False,predição diverge da regra silver,high_confidence_error
ACs/Eberg/Eberg_RIO_R29E1.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Eberg"", ""category_segment"": ""ACs"", ""commercial_model"": ""RIO_R29E1"", ""filename"": ""Eberg_RIO_R29E1""}",False,predição diverge da regra silver,high_confidence_error
ACs/Ecofort/Ecofort_CoolAir_7+_EQCA7+2900824.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Ecofort"", ""category_segment"": ""ACs"", ""commercial_model"": ""CoolAir_7+_EQCA7+2900824"", ""filename"": ""Ecofort_CoolAir_7+_EQCA7+2900824""}",False,predição diverge da regra silver,high_confidence_error
ACs/Eurom/Eurom_PAC_9.2.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Eurom"", ""category_segment"": ""ACs"", ""commercial_model"": ""PAC_9.2"", ""filename"": ""Eurom_PAC_9.2""}",False,predição diverge da regra silver,high_confidence_error
ACs/Frigidaire/Frigidaire_RG15D_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Frigidaire"", ""category_segment"": ""ACs"", ""commercial_model"": ""RG15D_AC"", ""filename"": ""Frigidaire_RG15D_AC""}",False,predição diverge da regra silver,high_confidence_error
ACs/GoodHome/GoodHome_FDP15.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""GoodHome"", ""category_segment"": ""ACs"", ""commercial_model"": ""FDP15"", ""filename"": ""GoodHome_FDP15""}",False,predição diverge da regra silver,high_confidence_error
ACs/Haier/Haier_AC_HPD10XCM-LW.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Haier"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_HPD10XCM-LW"", ""filename"": ""Haier_AC_HPD10XCM-LW""}",False,predição diverge da regra silver,high_confidence_error
ACs/Honeywell/Honeywell_MN10CESS.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Honeywell"", ""category_segment"": ""ACs"", ""commercial_model"": ""MN10CESS"", ""filename"": ""Honeywell_MN10CESS""}",False,predição diverge da regra silver,high_confidence_error
_Converted_/IR_Plus/E/EXAMPLE/RC5.ir,test_or_sample,brute_force,1.0,sample.explicit_path_segment.v1,"{""explicit_segments"": [""EXAMPLE""]}",False,predição diverge da regra silver,high_confidence_error
_Converted_/Pronto/R/ReQuest_Multimedia/ARQ_PRO-ZONE_CODE_SET_1.ir,brute_force,universal_remote,0.9,brute.marker_confirmed_by_content.v1,"{""marker"": ""CODE_SET"", ""sequences"": [{""base"": ""playlist"", ""count"": 10, ""density"": 1.0, ""first"": 0, ""last"": 9}], ""signal_count"": 128}",False,predição diverge da regra silver,high_confidence_error
ACs/Windfree/Windfree_Remote3.ir,,device_family,0.62,,"{""model"": ""Windfree_Remote3""}",,generic_marker_in_model_without_justification,invariant_violation
CD_Players/TEAC/TEAC_RC-505_Remote_Control_Unit.ir,,unknown,0.35,,"{""model"": ""RC-505_Remote_Control_Unit""}",,generic_marker_in_model_without_justification,invariant_violation
CD_Players/Unknown/Unkown_KC-806.ir,,specific_device,0.84,,"{""brand"": ""Unknown""}",,specific_device_with_unknown_brand,invariant_violation
Cameras/Panasonic/Panasonic_N2QAEC000017_MiniDV_remote.ir,,device_family,0.67,,"{""model"": ""N2QAEC000017_MiniDV_remote""}",,generic_marker_in_model_without_justification,invariant_violation
Car_Multimedia/DVD_Players/Volvo/2005_Volvo_XC-90_DVD_Remote_1.ir,,device_family,0.62,,"{""model"": ""2005_Volvo_XC-90_DVD_Remote_1""}",,generic_marker_in_model_without_justification,invariant_violation
Car_Multimedia/DVD_Players/Volvo/2005_Volvo_XC-90_DVD_Remote_2.ir,,device_family,0.62,,"{""model"": ""2005_Volvo_XC-90_DVD_Remote_2""}",,generic_marker_in_model_without_justification,invariant_violation
Computers/Apple/Apple_Remote_Gen2.ir,,unknown,0.35,,"{""model"": ""Remote_Gen2""}",,generic_marker_in_model_without_justification,invariant_violation
Consoles/Microsoft/Xb1_8BitDo_Media_remote_short.ir,,specific_device,0.898,,"{""model"": ""Xb1_8BitDo_Media_remote_short""}",,generic_marker_in_model_without_justification,invariant_violation
Fans/Generic_Fan_HS95104SK.ir,,device_family,0.62,,"{""model"": ""Generic_Fan_HS95104SK""}",,generic_marker_in_model_without_justification,invariant_violation
LED_Lighting/Cameo/CLPFLAT1REMOTE.ir,,specific_device,0.898,,"{""model"": ""CLPFLAT1REMOTE""}",,generic_marker_in_model_without_justification,invariant_violation
